date,doy,EVI
2023-08-07,219,0.6103556
2023-08-08,220,0.60261
2023-08-09,221,0.60067147
2023-08-10,222,0.59102213
2023-08-11,223,0.5885463
2023-08-12,224,0.5945333
2023-08-13,225,0.5909145
2023-08-14,226,0.5862211
2023-08-15,227,0.5945386
2023-08-16,228,0.5923854
2023-08-17,229,0.57780397
2023-08-18,230,0.59483284
2023-08-19,231,0.59279037
2023-08-20,232,0.574216
2023-08-21,233,0.57288134
2023-08-22,234,0.5673419
2023-08-23,235,0.56380385
2023-08-24,236,0.55931926
2023-08-25,237,0.5546345
2023-08-26,238,0.5483819
2023-08-27,239,0.53954345
2023-08-28,240,0.5371285
2023-08-29,241,0.5291987
2023-08-30,242,0.50567055
2023-08-31,243,0.4971789
2023-09-01,244,0.49222234
2023-09-02,245,0.49172977
2023-09-03,246,0.4800532
2023-09-04,247,0.4549183
2023-09-05,248,0.44362956
2023-09-06,249,0.4294392
2023-09-07,250,0.41443536
2023-09-08,251,0.40152377
2023-09-09,252,0.37098068
2023-09-10,253,0.35441932
2023-09-11,254,0.3547595
2023-09-12,255,0.32615227
2023-09-13,256,0.32323456
2023-09-14,257,0.30151004
2023-09-15,258,0.27484393
2023-09-16,259,0.27754658
2023-09-17,260,0.25559452
2023-09-18,261,0.24267627
2023-09-19,262,0.23446643
2023-09-20,263,0.22097528
2023-09-21,264,0.20964405
2023-09-22,265,0.1988653
2023-09-23,266,0.19073853
2023-09-24,267,0.17222747
2023-09-25,268,0.16315073
2023-09-26,269,0.16484848
2023-09-27,270,0.15468025
2023-09-28,271,0.14798915
2023-09-29,272,0.14555368
2023-09-30,273,0.14058673
2023-10-01,274,0.13521752
2023-10-02,275,0.13250282
2023-10-03,276,0.12953041
2023-10-04,277,0.12910157
2023-10-05,278,0.127942
2023-10-06,279,0.12550901
2023-10-07,280,0.1258842
2023-10-08,281,0.12617685
2023-10-09,282,0.12785588
2023-10-10,283,0.12829003
2023-10-11,284,0.12771049
2023-10-12,285,0.12904501
2023-10-13,286,0.13040951
2023-10-14,287,0.12866184
2023-10-15,288,0.1475644
2023-10-16,289,0.14945176
2023-10-17,290,0.1337406
2023-10-18,291,0.13681972
2023-10-19,292,0.14101198
2023-10-20,293,0.14140202
2023-10-21,294,0.13758594
2023-10-22,295,0.13742717
2023-10-23,296,0.13659236
2023-10-24,297,0.13626698
2023-10-25,298,0.13502511
2023-10-26,299,0.1332725
2023-10-27,300,0.1308353
2023-10-28,301,0.12820315
2023-10-29,302,0.12572931
2023-10-30,303,0.12147519
2023-10-31,304,0.12757099
2023-11-01,305,0.1122496
2023-11-02,306,0.10401912
2023-11-03,307,0.11634639
2023-11-04,308,0.11213128
2023-11-05,309,0.111799315
2023-11-06,310,0.10427742
2023-11-07,311,0.10297583
2023-11-08,312,0.10793768
2023-11-09,313,0.10645117
2023-11-10,314,0.1068303
2023-11-11,315,0.10453802
2023-11-12,316,0.105000526
2023-11-13,317,0.10711218
2023-11-14,318,0.10766077
2023-11-15,319,0.10877291
2023-11-16,320,0.11430149
2023-11-17,321,0.11509518
2023-11-18,322,0.11133967
2023-11-19,323,0.11337452
2023-11-20,324,0.1145245
2023-11-21,325,0.11577192
2023-11-22,326,0.11657581
2023-11-23,327,0.1143678
2023-11-24,328,0.12932968
2023-11-25,329,0.12902224
2023-11-26,330,0.112902105
2023-11-27,331,0.11640559
2023-11-28,332,0.09259249
2023-11-29,333,0.1911806
