dates, phenocam,hls,hls original,station,crop,state,tile,ano
Di,20210608,20210623,20210622,uiefmaize,Corn,Ilinois,16TCK,2021
Di,20220606,20220705,20220701,uiefmaize,Soybeans,Ilinois,16TCK,2022
Di,20230528,20230612,20230619,uiefmaize,Corn,Ilinois,16TCK,2023
D2,20220512,20220609,20220608,arkansascornsoy ,Corn,Arkansas,15SXU,2022
D2,20230614,20230626,20230615,arkansascornsoy ,Corn,Arkansas,15SXU,2023
D2,20210613,20210629,20210627,arsbrooks10 ,Corn,IOWA,15TVG,2021
D2,20220711,20220727,20220724,arsbrooks10 ,Soybeans,IOWA,15TVG,2022
D2,20230612,20230625,20230622,arsbrooks10 ,Corn,IOWA,15TVG,2023
D2,20210624,20210701,20210629,arscolesnorth,Corn,IOWA,15TVH,2021
D2,20220722,20220808,20220808,arscolesnorth,Soybeans,IOWA,15TVH,2022
D2,20230619,20230624,20230622,arscolesnorth,Corn,IOWA,15TVH,2023
D2,20210612,20210622,20210626,arsltarmdcr,Corn,Maryland,18SVJ,2021
D2,20220713,20220811,20220807,arsltarmdcr,Soybeans,Maryland,18SVJ,2022
D2,20230611,20230709,20230709,arsltarmdcr,Corn,Maryland,18SVJ,2023
D2,20210711,20210708,20210702,arsltarucbec1,Corn,Pennsyvania,17TQF,2021
D2,20220619,20220701,20220622,arsltarucbec1,Corn,Pennsyvania,17TQF,2022
D2,20230708,20230624,20230716,arsltarucbec1,Soybeans,Pennsyvania,17TQF,2023
D2,20210711,20210811,20210805,arsmorris1,Soybeans,Minnesota,14TQR,2021
D2,20220730,20220809,20220808,arsmorris1,Soybeans,Minnesota,14TQR,2022
D2,20230616,20230702,20230702,arsmorris1,Corn,Minnesota,14TQR,2023
D2,20210618,20210717,20210717,arsmorris3,Soybeans,Minnesota,14TQR,2021
D2,20220626,20220708,20220808,arsmorris3,Corn,Minnesota,14TQR,2022
D2,20230623,20230816,20230702,arsmorris3,Soybeans,Minnesota,14TQR,2023
D2,20210710,20210721,20210717,arsope3ltar,Soybeans,Maryland,18SUJ,2021
D2,20220702,20220722,20220816,arsope3ltar,Corn,Maryland,18SUJ,2022
D2,20230715,20230811,20230808,arsope3ltar,Soybeans,Maryland,18SUJ,2023
D2,20210604,20210625,20210625,bouldincorn,Corn,California,10SFH,2021
D2,20220616,20220704,20220629,bouldincorn,Corn,California,10SFH,2022
D2,20230618,20230715,20230713,bouldincorn,Corn,California,10SFH,2023
D2,20220627,20220822,20220827,ecb1,Corn,Indiana,16TFM,2022
D2,20230703,20230728,20230801,ecb1,Soybeans,Indiana,16TFM,2023
D2,20220621,20220709,20220711,ecb2,Corn,Indiana,16TFM,2022
D2,20230707,20230730,20230818,ecb2,Soybeans,Indiana,16TFM,2023
D2,20220725,20220804,20220730,ecb4,Soybeans,Ohio,17TLF,2022
D2,20230711,20230804,20230814,ecb4,Soybeans,Ohio,17TLF,2023
D2,20230729,20230814,20230811,goodwater,Soybeans,Missouri,15SWD,2023
D2,20210705,20210808,20210808,goodwaterbau,Soybeans,Missouri,15SWD,2021
D2,20220712,20220726,20220728,goodwaterbau,Soybeans,Missouri,15SWD,2022
D2,20230531,20230618,20230615,goodwaterbau,Corn,Missouri,15SWD,2023
D2,20220613,20220702,20220628,mandani2,Soybeans,North Dakota,14TLS,2021
D2,20230629,20230725,20230729,mandani2,Corn,North Dakota,14TLS,2023
D2,20210610,20210626,20210624,mead1,Corn,Nebraska,14TQL,2021
D2,20220621,20220722,20220721,mead1,Soybeans,Nebraska,14TQL,2022
D2,20230607,20230623,20230622,mead1,Corn,Nebraska,14TQL,2023
D2,20230610,20230625,20230624,mead2 ,Corn,Nebraska,14TQL,2023
D2,20210615,20210630,20210628,mead3 ,Corn,Nebraska,14TQL,2021
D2,20220630,20220723,20220720,mead3 ,Soybeans,Nebraska,14TQL,2022
D2,20230615,20230702,20230702,mead3 ,Corn,Nebraska,14TQL,2023
D2,20220616,20220720,20220629,NEON.D06.KONA.DP1.00033    ,Corn,Kansas,14SQJ,2022
D2,20230705,20230801,20230724,NEON.D06.KONA.DP1.00033    ,Soybeans,Kansas,14SQJ,2023
D2,20210616,20210706,20210702,uiefmaize,Corn,Ilinois,16TCK,2021
D2,20220620,20220728,20220718,uiefmaize,Soybeans,Ilinois,16TCK,2022
D2,20230606,20230625,20230706,uiefmaize,Corn,Ilinois,16TCK,2023
D3,20220616,20220801,20220805,arkansascornsoy ,Corn,Arkansas,15SXU,2022
D3,20230722,20230813,20230818,arkansascornsoy ,Corn,Arkansas,15SXU,2023
D3,20210813,20210825,20210829,arsbrooks10 ,Corn,IOWA,15TVG,2021
D3,20220911,20220909,20220911,arsbrooks10 ,Soybeans,IOWA,15TVG,2022
D3,20230815,20230904,20230908,arsbrooks10 ,Corn,IOWA,15TVG,2023
D3,20210819,20210907,20210911,arscolesnorth,Corn,IOWA,15TVH,2021
D3,20220914,20220911,20220913,arscolesnorth,Soybeans,IOWA,15TVH,2022
D3,20230824,20230830,20230902,arscolesnorth,Corn,IOWA,15TVH,2023
D3,20210811,20210824,20210823,arsltarmdcr,Corn,Maryland,18SVJ,2021
D3,20220914,20220910,20220914,arsltarmdcr,Soybeans,Maryland,18SVJ,2022
D3,20230807,20230828,20230903,arsltarmdcr,Corn,Maryland,18SVJ,2023
D3,20211010,20210928,20211005,arsltarucbec1,Corn,Pennsyvania,17TQF,2021
D3,20220916,20221004,20220923,arsltarucbec1,Corn,Pennsyvania,17TQF,2022
D3,20230910,20230928,20230917,arsltarucbec1,Soybeans,Pennsyvania,17TQF,2023
D3,20210904,20210904,20210909,arsmorris1,Soybeans,Minnesota,14TQR,2021
D3,20220911,20220924,20220911,arsmorris1,Soybeans,Minnesota,14TQR,2022
D3,20230819,20230828,20230827,arsmorris1,Corn,Minnesota,14TQR,2023
D3,20210826,20210825,20210829,arsmorris3,Soybeans,Minnesota,14TQR,2021
D3,20220829,20220914,20220911,arsmorris3,Corn,Minnesota,14TQR,2022
D3,20230827,20230826,20230827,arsmorris3,Soybeans,Minnesota,14TQR,2023
D3,20210909,20210914,20210918,arsope3ltar,Soybeans,Maryland,18SUJ,2021
D3,20220906,20220903,20220829,arsope3ltar,Corn,Maryland,18SUJ,2022
D3,20230926,20230924,20231003,arsope3ltar,Soybeans,Maryland,18SUJ,2023
D3,20210723,20210723,20210725,bouldincorn,Corn,California,10SFH,2021
D3,20220807,20220815,20220822,bouldincorn,Corn,California,10SFH,2022
D3,20230816,20230806,20230804,bouldincorn,Corn,California,10SFH,2023
D3,20220831,20220910,20220908,ecb1,Corn,Indiana,16TFM,2022
D3,20230830,20230905,20230911,ecb1,Soybeans,Indiana,16TFM,2023
D3,20220913,20220913,20220915,ecb2,Corn,Indiana,16TFM,2022
D3,20230907,20230909,20230911,ecb2,Soybeans,Indiana,16TFM,2023
D3,20220916,20220918,20220916,ecb4,Soybeans,Ohio,17TLF,2022
D3,20230903,20230828,20230903,ecb4,Soybeans,Ohio,17TLF,2023
D3,20230906,20230914,20230919,goodwater,Soybeans,Missouri,15SWD,2023
D3,20210902,20210828,20210827,goodwaterbau,Soybeans,Missouri,15SWD,2021
D3,20220908,20220919,20220921,goodwaterbau,Soybeans,Missouri,15SWD,2022
D3,20230808,20230820,20230826,goodwaterbau,Corn,Missouri,15SWD,2023
D3,20220724,20220702,20220713,mandani2,Soybeans,North Dakota,14TLS,2021
D3,20230903,20230909,20230907,mandani2,Corn,North Dakota,14TLS,2023
D3,20210728,20210823,20210828,mead1,Corn,Nebraska,14TQL,2021
D3,20220915,20220907,20220912,mead1,Soybeans,Nebraska,14TQL,2022
D3,20230730,20230827,20230831,mead1,Corn,Nebraska,14TQL,2023
D3,20230803,20230830,20230902,mead2 ,Corn,Nebraska,14TQL,2023
D3,20210814,20210820,20210825,mead3 ,Corn,Nebraska,14TQL,2021
D3,20220909,20220903,20220909,mead3 ,Soybeans,Nebraska,14TQL,2022
D3,20230815,20230824,20230825,mead3 ,Corn,Nebraska,14TQL,2023
D3,20220804,20220718,20220805,NEON.D06.KONA.DP1.00033    ,Corn,Kansas,14SQJ,2022
D3,20230825,20230818,20230822,NEON.D06.KONA.DP1.00033    ,Soybeans,Kansas,14SQJ,2023
D3,20210821,20210821,20210826,uiefmaize,Corn,Ilinois,16TCK,2021
D3,20220910,20220827,20220908,uiefmaize,Soybeans,Ilinois,16TCK,2022
D3,20230817,20230927,20230827,uiefmaize,Corn,Ilinois,16TCK,2023
Dd,20220704,20220812,20220812,arkansascornsoy ,Corn,Arkansas,15SXU,2022
Dd,20230809,20230907,20230914,arkansascornsoy ,Corn,Arkansas,15SXU,2023
Dd,20210828,20210907,20210909,arsbrooks10 ,Corn,IOWA,15TVG,2021
Dd,20220920,20220921,20220921,arsbrooks10 ,Soybeans,IOWA,15TVG,2022
Dd,20230831,20230916,20230916,arsbrooks10 ,Corn,IOWA,15TVG,2023
Dd,20210904,20210918,20210919,arscolesnorth,Corn,IOWA,15TVH,2021
Dd,20220921,20220922,20220923,arscolesnorth,Soybeans,IOWA,15TVH,2022
Dd,20230905,20230915,20230916,arscolesnorth,Corn,IOWA,15TVH,2023
Dd,20210823,20210903,20210902,arsltarmdcr,Corn,Maryland,18SVJ,2021
Dd,20220922,20220923,20220923,arsltarmdcr,Soybeans,Maryland,18SVJ,2022
Dd,20230821,20230904,20230911,arsltarmdcr,Corn,Maryland,18SVJ,2023
Dd,20211019,20211016,20211017,arsltarucbec1,Corn,Pennsyvania,17TQF,2021
Dd,20220927,20221011,20221006,arsltarucbec1,Corn,Pennsyvania,17TQF,2022
Dd,20230923,20231009,20231002,arsltarucbec1,Soybeans,Pennsyvania,17TQF,2023
Dd,20210911,20210915,20210916,arsmorris1,Soybeans,Minnesota,14TQR,2021
Dd,20220918,20221005,20220923,arsmorris1,Soybeans,Minnesota,14TQR,2022
Dd,20230903,20230906,20230910,arsmorris1,Corn,Minnesota,14TQR,2023
Dd,20210903,20210905,20210906,arsmorris3,Soybeans,Minnesota,14TQR,2021
Dd,20220918,20220927,20220914,arsmorris3,Corn,Minnesota,14TQR,2022
Dd,20230904,20230908,20230910,arsmorris3,Soybeans,Minnesota,14TQR,2023
Dd,20210920,20210924,20210926,arsope3ltar,Soybeans,Maryland,18SUJ,2021
Dd,20220915,20220917,20220913,arsope3ltar,Corn,Maryland,18SUJ,2022
Dd,20231002,20231003,20231008,arsope3ltar,Soybeans,Maryland,18SUJ,2023
Dd,20210807,20210821,20210823,bouldincorn,Corn,California,10SFH,2021
Dd,20220819,20220902,20220905,bouldincorn,Corn,California,10SFH,2022
Dd,20230901,20230901,20230901,bouldincorn,Corn,California,10SFH,2023
Dd,20220916,20220924,20220922,ecb1,Corn,Indiana,16TFM,2022
Dd,20230909,20230916,20230917,ecb1,Soybeans,Indiana,16TFM,2023
Dd,20220925,20220923,20220925,ecb2,Corn,Indiana,16TFM,2022
Dd,20230914,20230917,20230918,ecb2,Soybeans,Indiana,16TFM,2023
Dd,20220924,20220925,20220922,ecb4,Soybeans,Ohio,17TLF,2022
Dd,20230914,20230902,20230911,ecb4,Soybeans,Ohio,17TLF,2023
Dd,20230916,20230921,20230923,goodwater,Soybeans,Missouri,15SWD,2023
Dd,20210910,20210907,20210905,goodwaterbau,Soybeans,Missouri,15SWD,2021
Dd,20220917,20220926,20220926,goodwaterbau,Soybeans,Missouri,15SWD,2022
Dd,20230823,20230903,20230906,goodwaterbau,Corn,Missouri,15SWD,2023
Dd,20220801,20220722,20220725,mandani2,Soybeans,North Dakota,14TLS,2021
Dd,20230916,20230924,20230923,mandani2,Corn,North Dakota,14TLS,2023
Dd,20210819,20210912,20210912,mead1,Corn,Nebraska,14TQL,2021
Dd,20220922,20220921,20220922,mead1,Soybeans,Nebraska,14TQL,2022
Dd,20230818,20230910,20230910,mead1,Corn,Nebraska,14TQL,2023
Dd,20230830,20230913,20230914,mead2 ,Corn,Nebraska,14TQL,2023
Dd,20210905,20210909,20210911,mead3 ,Corn,Nebraska,14TQL,2021
Dd,20220915,20220914,20220915,mead3 ,Soybeans,Nebraska,14TQL,2022
Dd,20230828,20230902,20230906,mead3 ,Corn,Nebraska,14TQL,2023
Dd,20220816,20220811,20220820,NEON.D06.KONA.DP1.00033    ,Corn,Kansas,14SQJ,2022
Dd,20230905,20230902,20230903,NEON.D06.KONA.DP1.00033    ,Soybeans,Kansas,14SQJ,2023
Dd,20210901,20210904,20210905,uiefmaize,Corn,Ilinois,16TCK,2021
Dd,20220919,20220912,20220915,uiefmaize,Soybeans,Ilinois,16TCK,2022
Dd,20230902,20231005,20230912,uiefmaize,Corn,Ilinois,16TCK,2023
D4,20220723,20220823,20220818,arkansascornsoy ,Corn,Arkansas,15SXU,2022
D4,20230828,20231002,20231010,arkansascornsoy ,Corn,Arkansas,15SXU,2023
D4,20210912,20210920,20210920,arsbrooks10 ,Corn,IOWA,15TVG,2021
D4,20220929,20221002,20221001,arsbrooks10 ,Soybeans,IOWA,15TVG,2022
D4,20230916,20230928,20230925,arsbrooks10 ,Corn,IOWA,15TVG,2023
D4,20210919,20210929,20210928,arscolesnorth,Corn,IOWA,15TVH,2021
D4,20220928,20221003,20221003,arscolesnorth,Soybeans,IOWA,15TVH,2022
D4,20230917,20231001,20230929,arscolesnorth,Corn,IOWA,15TVH,2023
D4,20210904,20210913,20210911,arsltarmdcr,Corn,Maryland,18SVJ,2021
D4,20220929,20221006,20221003,arsltarmdcr,Soybeans,Maryland,18SVJ,2022
D4,20230903,20230912,20230918,arsltarmdcr,Corn,Maryland,18SVJ,2023
D4,20211028,20211103,20211028,arsltarucbec1,Corn,Pennsyvania,17TQF,2021
D4,20221008,20221017,20221019,arsltarucbec1,Corn,Pennsyvania,17TQF,2022
D4,20231006,20231021,20231016,arsltarucbec1,Soybeans,Pennsyvania,17TQF,2023
D4,20210917,20210926,20210924,arsmorris1,Soybeans,Minnesota,14TQR,2021
D4,20220925,20221016,20221005,arsmorris1,Soybeans,Minnesota,14TQR,2022
D4,20230917,20230915,20230923,arsmorris1,Corn,Minnesota,14TQR,2023
D4,20210911,20210916,20210915,arsmorris3,Soybeans,Minnesota,14TQR,2021
D4,20220925,20221009,20220930,arsmorris3,Corn,Minnesota,14TQR,2022
D4,20230912,20230920,20230923,arsmorris3,Soybeans,Minnesota,14TQR,2023
D4,20211001,20211004,20211004,arsope3ltar,Soybeans,Maryland,18SUJ,2021
D4,20220924,20220930,20220928,arsope3ltar,Corn,Maryland,18SUJ,2022
D4,20231008,20231012,20231014,arsope3ltar,Soybeans,Maryland,18SUJ,2023
D4,20210821,20210919,20210920,bouldincorn,Corn,California,10SFH,2021
D4,20220901,20220921,20220920,bouldincorn,Corn,California,10SFH,2022
D4,20230916,20230928,20230929,bouldincorn,Corn,California,10SFH,2023
D4,20221002,20221008,20221006,ecb1,Corn,Indiana,16TFM,2022
D4,20230918,20230927,20230923,ecb1,Soybeans,Indiana,16TFM,2023
D4,20221008,20221004,20221005,ecb2,Corn,Indiana,16TFM,2022
D4,20230922,20230925,20230925,ecb2,Soybeans,Indiana,16TFM,2023
D4,20221002,20221003,20220928,ecb4,Soybeans,Ohio,17TLF,2022
D4,20230924,20230908,20230919,ecb4,Soybeans,Ohio,17TLF,2023
D4,20230926,20230928,20230927,goodwater,Soybeans,Missouri,15SWD,2023
D4,20210919,20210916,20210914,goodwaterbau,Soybeans,Missouri,15SWD,2021
D4,20220926,20221003,20221002,goodwaterbau,Soybeans,Missouri,15SWD,2022
D4,20230908,20230917,20230916,goodwaterbau,Corn,Missouri,15SWD,2023
D4,20220809,20220810,20220807,mandani2,Soybeans,North Dakota,14TLS,2021
D4,20230929,20231009,20231010,mandani2,Corn,North Dakota,14TLS,2023
D4,20210909,20211001,20210927,mead1,Corn,Nebraska,14TQL,2021
D4,20220929,20221004,20221003,mead1,Soybeans,Nebraska,14TQL,2022
D4,20230907,20230924,20230920,mead1,Corn,Nebraska,14TQL,2023
D4,20230925,20230927,20230926,mead2 ,Corn,Nebraska,14TQL,2023
D4,20210927,20210930,20210929,mead3 ,Corn,Nebraska,14TQL,2021
D4,20220921,20220924,20220921,mead3 ,Soybeans,Nebraska,14TQL,2022
D4,20230911,20230911,20230917,mead3 ,Corn,Nebraska,14TQL,2023
D4,20220829,20220903,20220903,NEON.D06.KONA.DP1.00033    ,Corn,Kansas,14SQJ,2022
D4,20230916,20230917,20230916,NEON.D06.KONA.DP1.00033    ,Soybeans,Kansas,14SQJ,2023
D4,20210912,20210917,20210915,uiefmaize,Corn,Ilinois,16TCK,2021
D4,20220927,20220928,20220922,uiefmaize,Soybeans,Ilinois,16TCK,2022
D4,20230919,20231013,20230927,uiefmaize,Corn,Ilinois,16TCK,2023
